Source sentence,Answer sentence,Event1,Event2,labels
"Two top aides to Netanyahu , political adviser Uzi Arad and Cabinet Secretary Danny Naveh , left for Europe on Sunday , apparently to investigate the Syrian issue , the newspaper said . "" This is a new thing ... it means that we are willing to talk today _ full stop _ about security , "" Lubrani told Israel 's Channel One . ",said and willing have no relationship,said ,willing ,NONE
"Late last week , representatives of Dow Jones and Telerate began negotiations about the terms of the offer , but those talks did n't result in any changes in the offer . Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday . ",offer and offer have no relationship,offer ,offer ,NONE
"German law requires parties to publish the name and address of anyone who donates more than 20,000 marks ( dlrs 11,000 ) . The anti-foreigner party said it wanted to protect the donor from possible attacks . ",requires and attacks have no relationship,requires ,attacks ,NONE
"The offer , valued at about $ 576 million for the 33 % of Telerate that Dow Jones does n't already own , had been set to expire Nov . 6 . ",offer and expire have no relationship,offer ,expire ,NONE
"Traders said the continued turbulence in other markets , coupled with the drop in London following the Lawson resignation , were responsible . The Financial Times 100-share index shed 47.3 points to close at 2082.1 , down 4.5 % from the previous Friday and 6.8 % from Oct . 13 , when Wall Street 's plunge helped spark the current weakness in London . ",responsible and helped have no relationship,responsible ,helped ,NONE
"And to protect their reduced capital investment from eroding further , market makers became quicker to lower price quotes when sell programs are in progress . The semiconductor concern said the interruption in shipment of its 80486 computer chip will be brief and have little impact on the company 's earnings . ",lower and interruption have no relationship,lower ,interruption ,NONE
"We innovated telephone redemptions , daily dividends , total elimination of share certificates and the constant $ 1 pershare pricing , all of which were painfully thought out and not the result of some inadvertence on the part of the SEC . ",inadvertence is the cause of dividends ,inadvertence ,dividends ,Cause-Effect
An ambitious expansion has left Magna with excess capacity and a heavy debt load as the automotive industry enters a downturn . They expect him to cut costs throughout the organization . ,expansion and cut have no relationship,expansion ,cut ,NONE
"Earlier yesterday , the Societe de Bourses Francaises was told that a unit of Framatome S.A. also bought Navigation Mixte shares , this purchase covering more than 160,000 shares . Navigation Mixte 's chairman had suggested that friendly institutions were likely to buy its stock as soon as trading opened Monday . ",told and opened have no relationship,told ,opened ,NONE
"But while International Business Machines Corp. and Compaq Computer Corp. say the bugs will delay products , most big computer makers said the flaws do n't affect them . The problem is being ballyhooed , experts say , because the 486 is Intel 's future flagship . ",say and say have no relationship,say ,say ,NONE
"American strategists are calculating , though , that the trade sanctions -- enforced by an effective though perhaps undeclared naval blockade -- will hold tightly enough to convince Iraq that it will lose in the long run by simply standing pat . ",blockade is the cause of sanctions ,blockade ,sanctions ,Cause-Effect
"In September , it announced plans to acquire the tropical-fruit business of RJR Nabisco Inc.'s Del Monte foods unit for # 557 million ( $ 878 million ) . Nor do analysts expect the Sansui deal to touch off a fresh wave of foreign purchases . ",announced and expect have no relationship,announced ,expect ,NONE
First of America Bank Corp. said it completed its acquisition of Midwest Financial Group Inc. for about $ 250 million . ,completed and said have no relationship,completed ,said ,NONE
"ROGERS COMMUNICATIONS Inc. said it plans to raise 175 million to 180 million Canadian dollars ( US $ 148.9 million to $ 153.3 million ) through a private placement of perpetual preferred shares . Rogers said the shares will be convertible into Class B shares , but that the company has the option to redeem the shares before a conversion takes place . ",raise and has have no relationship,raise ,has ,NONE
"Also , substantially lower Dutch corporate tax rates helped the company keep its tax outlay flat relative to earnings growth , the company added . N.V. DSM said net income in the third quarter jumped 63 % as the company had substantially lower extraordinary charges to account for a restructuring program . ",added and account have no relationship,added ,account ,NONE
"Despite the recent possibility of military conflict with Iraq , oil prices have been falling , that 's because of a worldwide glut of oil . ",glut is the cause of falling ,glut ,falling ,Cause-Effect
